日期,收盤價
112/05/02,671.00
112/05/03,680.00
112/05/04,668.00
112/05/05,675.00
112/05/08,675.00
112/05/09,677.00
112/05/10,668.00
112/05/11,668.00
112/05/12,673.00
112/05/15,680.00
112/05/16,680.00
112/05/17,685.00
112/05/18,689.00
112/05/19,698.00
112/05/22,705.00
112/05/23,716.00
