日期,收盤價
112/05/02,501.00
112/05/03,496.00
112/05/04,498.00
112/05/05,500.00
112/05/08,504.00
112/05/09,510.00
112/05/10,503.00
112/05/11,499.00
112/05/12,496.00
112/05/15,495.50
112/05/16,505.00
112/05/17,519.00
112/05/18,530.00
112/05/19,532.00
112/05/22,531.00
112/05/23,530.00
